doc_id,rouge1_p,rouge1_r,rouge1_f1,rouge2_p,rouge2_r,rouge2_f1,rougeL_p,rougeL_r,rougeL_f1
314044,0.7244094488188977,0.46938775510204084,0.5696594427244581,0.40476190476190477,0.26153846153846155,0.3177570093457944,0.36220472440944884,0.23469387755102042,0.28482972136222906
138192511,0.6917808219178082,0.4410480349344978,0.5386666666666667,0.3586206896551724,0.22807017543859648,0.2788203753351206,0.4863013698630137,0.31004366812227074,0.37866666666666665
14898186,0.8907563025210085,0.44166666666666665,0.5905292479108635,0.6186440677966102,0.3054393305439331,0.4089635854341737,0.6722689075630253,0.3333333333333333,0.44568245125348194
1165503,0.8809523809523809,0.5362318840579711,0.6666666666666666,0.52,0.3155339805825243,0.39274924471299094,0.5476190476190477,0.3333333333333333,0.41441441441441446
8919089,0.7342657342657343,0.42338709677419356,0.537084398976982,0.4295774647887324,0.24696356275303644,0.31362467866323906,0.5314685314685315,0.3064516129032258,0.3887468030690537
110813550,0.51,0.45132743362831856,0.47887323943661964,0.2562814070351759,0.22666666666666666,0.24056603773584906,0.345,0.3053097345132743,0.323943661971831
4354,0.7661290322580645,0.405982905982906,0.5307262569832403,0.4065040650406504,0.2145922746781116,0.2808988764044944,0.5,0.26495726495726496,0.3463687150837989
54865315,0.6858407079646017,0.6981981981981982,0.6919642857142857,0.5022222222222222,0.5113122171945701,0.5067264573991032,0.45132743362831856,0.4594594594594595,0.45535714285714285
7926018,0.7361963190184049,0.5333333333333333,0.6185567010309277,0.4444444444444444,0.32142857142857145,0.37305699481865284,0.3803680981595092,0.27555555555555555,0.3195876288659794
174974,0.808695652173913,0.42857142857142855,0.5602409638554217,0.37719298245614036,0.19907407407407407,0.2606060606060607,0.48695652173913045,0.25806451612903225,0.3373493975903615
1586918,0.7888888888888889,0.28286852589641437,0.4164222873900293,0.4044943820224719,0.144,0.21238938053097342,0.5777777777777777,0.20717131474103587,0.30498533724340177
115718142,0.5983606557377049,0.5703125,0.584,0.2975206611570248,0.28346456692913385,0.29032258064516125,0.30327868852459017,0.2890625,0.296
1877956,0.8309859154929577,0.5244444444444445,0.6430517711171662,0.5319148936170213,0.33482142857142855,0.410958904109589,0.6338028169014085,0.4,0.4904632152588557
1548289,0.6842105263157895,0.6030927835051546,0.6410958904109589,0.4176470588235294,0.36787564766839376,0.3911845730027548,0.3742690058479532,0.32989690721649484,0.3506849315068493
155579055,0.4879518072289157,0.6377952755905512,0.552901023890785,0.23030303030303031,0.30158730158730157,0.2611683848797251,0.3614457831325301,0.47244094488188976,0.40955631399317405
36937,0.8208955223880597,0.4661016949152542,0.5945945945945946,0.44360902255639095,0.251063829787234,0.32065217391304346,0.44029850746268656,0.25,0.3189189189189189
1035719,0.7684210526315789,0.2579505300353357,0.3862433862433862,0.30851063829787234,0.10283687943262411,0.15425531914893617,0.4,0.13427561837455831,0.20105820105820107
